"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","SR","Streetcar Rail","DO","2","9",,"18",,"27",,"80784",,"78635",,"80784",,"78635",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","VP","Vanpool","PT","0","0",,"0",,"0",,"0",,"0",,"0",,"0",
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2023","37243","Hartford, CT","977158","22","MB","Bus","PT","5","16",,"15",,"31",,"202300",,"178494",,"0",,"0",
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2023","37243","Hartford, CT","977158","22","CB","Commuter Bus","PT","17","41",,"33",,"74",,"984669",,"767644",,"0",,"0",
"City of Decatur, Il, dba: Decatur Public Transit System","Decatur","IL","50061","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22717","Decatur, IL","86287","24","MB","Bus","PT","19","18",,"84",,"102",,"1004150",,"998653",,"0",,"0",
"City of Decatur, Il, dba: Decatur Public Transit System","Decatur","IL","50061","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22717","Decatur, IL","86287","24","DR","Demand Response","PT","5","20",,"27",,"47",,"96003",,"91222",,"0",,"0",
"Delaware Transit Corporation","Dover","DE","30075","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","498","DR","Demand Response","DO","252","201",,"67",,"268",,"7914898",,"6603457",,"0",,"0",
"Delaware Transit Corporation","Dover","DE","30075","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","498","DR","Demand Response","PT","34","14",,"28",,"42",,"859151",,"649312",,"0",,"0",
"Delaware Transit Corporation","Dover","DE","30075","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","498","MB","Bus","DO","154","1244",,"549",,"1793",,"8060792",,"7270018",,"0",,"0",
"Delaware Transit Corporation","Dover","DE","30075","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","498","MB","Bus","PT","58","142",,"106",,"248",,"1735310",,"1594079",,"0",,"0",
"Des Moines Area Regional Transit Authority","Des Moines","IA","70010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23743","Des Moines, IA","542486","150","DR","Demand Response","DO","27","13",,"8",,"21",,"927441",,"820106",,"0",,"0",
"Des Moines Area Regional Transit Authority","Des Moines","IA","70010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23743","Des Moines, IA","542486","150","MB","Bus","DO","86","287",,"256",,"543",,"3274002",,"2965865",,"0",,"0",
"Des Moines Area Regional Transit Authority","Des Moines","IA","70010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23743","Des Moines, IA","542486","150","VP","Vanpool","DO","35","1",,"0",,"1",,"682907",,"682907",,"0",,"0",
"Detroit Transportation Corporation, dba: Detroit People Mover","Detroit","MI","50141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","4","MG","Monorail/Automated Guideway","DO","4","38",,"34",,"72",,"209294",,"208566",,"109547",,"109182",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","15","DR","Demand Response","DO","7","2",,"2",,"4",,"68608",,"48623","W","0",,"0",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","15","MB","Bus","PT","5","6",,"2",,"8",,"339349",,"327117",,"0",,"0",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","15","DR","Demand Response","PT","3","0",,"2",,"2",,"100019",,"91399",,"0",,"0",
"Duluth Transit Authority","Duluth","MN","50025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","24850","Duluth, MN--WI","119411","61","MB","Bus","DO","52","26",,"306",,"332",,"2034629",,"1905578",,"0",,"0",
"Duluth Transit Authority","Duluth","MN","50025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","24850","Duluth, MN--WI","119411","61","DR","Demand Response","DO","9","1",,"2",,"3",,"215952",,"195111",,"0",,"0",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","25228","Durham, NC","396118","101","DR","Demand Response","PT","34","9",,"16",,"25",,"785123",,"675838",,"0",,"0",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","25228","Durham, NC","396118","101","MB","Bus","PT","34","192",,"214",,"406",,"2605835",,"2434835",,"0",,"0",
"Dutchess County, dba: Dutchess County Public Transit","Poughkeepsie","NY","20010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71803","Poughkeepsie--Newburgh, NY","314766","48","DR","Demand Response","DO","14","23",,"8",,"31",,"270339",,"190558",,"0",,"0",
"Dutchess County, dba: Dutchess County Public Transit","Poughkeepsie","NY","20010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71803","Poughkeepsie--Newburgh, NY","314766","48","MB","Bus","DO","34","54",,"12",,"66",,"1254534",,"1219475",,"0",,"0",
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit","Antioch","CA","90162","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2683","Antioch, CA","326205","98","DR","Demand Response","PT","36","2",,"1",,"3",,"1062167",,"912999",,"0",,"0",
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit","Antioch","CA","90162","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2683","Antioch, CA","326205","98","MB","Bus","PT","52","31",,"4",,"35",,"2285621",,"2020307",,"0",,"0",
"City of Eau Claire, dba: Eau Claire Transit","Eau Claire","WI","50099","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","26038","Eau Claire, WI","105475","42","DR","Demand Response","PT","26","39",,"64",,"103",,"464073",,"283921",,"0",,"0",
"City of Eau Claire, dba: Eau Claire Transit","Eau Claire","WI","50099","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","26038","Eau Claire, WI","105475","42","MB","Bus","DO","16","52",,"28",,"80",,"722846",,"709882",,"0",,"0",
"Erie Metropolitan Transit Authority, dba: the e","Erie","PA","30013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","27766","Erie, PA","187820","80","DR","Demand Response","DO","32","4",,"4",,"8",,"880939",,"783514",,"0",,"0",
"Erie Metropolitan Transit Authority, dba: the e","Erie","PA","30013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","27766","Erie, PA","187820","80","MB","Bus","DO","48","2",,"8",,"10",,"1870878",,"1810920",,"0",,"0",
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","68482","Pensacola, FL--AL","390172","72","DR","Demand Response","PT","40","11",,"12",,"23",,"1124429",,"1025392",,"0",,"0",
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","68482","Pensacola, FL--AL","390172","72","MB","Bus","DO","32","138",,"62",,"200",,"1247273",,"1199581",,"0",,"0",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","50","DR","Demand Response","DO","18","9",,"3",,"12",,"411324",,"366516",,"0",,"0",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","50","MB","Bus","DO","32","182",,"49",,"231",,"1360585",,"1195863",,"0",,"0",
"Fairfax County, VA, dba: Fairfax Connector Bus System","Fairfax","VA","30068","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","278","MB","Bus","PT","278","1675",,"262",,"1937",,"13327653",,"11068404",,"0",,"0",
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29089","Fargo, ND--MN","216214","37","MB","Bus","PT","24","10",,"51",,"61",,"772145",,"741381",,"0",,"0",
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29089","Fargo, ND--MN","216214","37","DR","Demand Response","PT","13","1",,"2",,"3",,"430027",,"391999",,"0",,"0",
"City of Fayetteville, dba: Fayetteville Area System of Transit","Fayetteville","NC","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29440","Fayetteville, NC","325008","36","DR","Demand Response","DO","15","15",,"5",,"20",,"477637",,"428926",,"0",,"0",
"City of Fayetteville, dba: Fayetteville Area System of Transit","Fayetteville","NC","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29440","Fayetteville, NC","325008","36","MB","Bus","DO","18","181",,"94",,"275",,"1190293",,"1136006",,"0",,"0",
"City of Fayetteville, dba: Fayetteville Area System of Transit","Fayetteville","NC","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29440","Fayetteville, NC","325008","36","DR","Demand Response","PT","3","0",,"0",,"0",,"41974",,"35562",,"0",,"0",
"City of Cedar Rapids, dba: Cedar Rapids Transit","Cedar Rapids","IA","70008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","14752","Cedar Rapids, IA","192844","28","DR","Demand Response","PT","5","12",,"3",,"15",,"130340",,"122099",,"0",,"0",
"City of Cedar Rapids, dba: Cedar Rapids Transit","Cedar Rapids","IA","70008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","14752","Cedar Rapids, IA","192844","28","MB","Bus","DO","23","36",,"57",,"93",,"979800",,"951829",,"0",,"0",
"Foothill Transit","West Covina","CA","90146","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","303","MB","Bus","PT","303","770",,"946",,"1716",,"15047331",,"10763315",,"0",,"0",
"Fort Wayne Public Transportation Corporation, dba: Citilink","Fort Wayne","IN","50044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","31087","Fort Wayne, IN","335934","40","DR","Demand Response","DO","15","2",,"8",,"10",,"492611",,"401205",,"0",,"0",
"Fort Wayne Public Transportation Corporation, dba: Citilink","Fort Wayne","IN","50044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","31087","Fort Wayne, IN","335934","40","MB","Bus","DO","25","22",,"65",,"87",,"1444844",,"1312530",,"0",,"0",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","DR","Demand Response","DO","24","71",,"29",,"100",,"970241",,"819658",,"0",,"0",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","DR","Demand Response","PT","52","0",,"17",,"17",,"1952613",,"1617448",,"0",,"0",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","MB","Bus","DO","135","412",,"160",,"572",,"6180212",,"5297857",,"0",,"0",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","VP","Vanpool","PT","197","1",,"0",,"1",,"3046359",,"3046359",,"0",,"0",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","CR","Commuter Rail","PT","20","6",,"4",,"10",,"2514771",,"2472556",,"628693",,"618139",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","435","MB","Bus","PT","7","6",,"0",,"6",,"270493",,"219242",,"0",,"0",
